xcategory,ycategory,amount
A few times a day,Facebook,0.47
Once a day,Facebook,0.14
A few times a week,Facebook,0.12
Occasionally,Facebook,0.14
I don't use it,Facebook,0.13
A few times a day,Instagram,0.43
Once a day,Instagram,0.08
A few times a week,Instagram,0.07
Occasionally,Instagram,0.08
I don't use it,Instagram,0.34
A few times a day,Twitter,0.28
Once a day,Twitter,0.07
A few times a week,Twitter,0.07
Occasionally,Twitter,0.13
I don't use it,Twitter,0.45
A few times a day,Google+,0.16
Once a day,Google+,0.07
A few times a week,Google+,0.08
Occasionally,Google+,0.21
I don't use it,Google+,0.48
A few times a day,Tumblr,0.11
Once a day,Tumblr,0.04
A few times a week,Tumblr,0.06
Occasionally,Tumblr,0.12
I don't use it,Tumblr,0.66
A few times a day,Pinterest,0.1
Once a day,Pinterest,0.06
A few times a week,Pinterest,0.1
Occasionally,Pinterest,0.18
I don't use it,Pinterest,0.56
